Measure,Year,TravelType,Reason,UNIT,Value
Number of Nights by Irish Residents,2003,Domestic,Holiday,Thousand,13009.0
Number of Nights by Irish Residents,2003,Domestic,Business,Thousand,1788.0
Number of Nights by Irish Residents,2003,Domestic,Visiting friends/relatives,Thousand,6509.0
Number of Nights by Irish Residents,2003,Domestic,Other reasons,Thousand,2310.0
Number of Nights by Irish Residents,2003,Outbound,All reasons for journey,Thousand,43702.0
Number of Nights by Irish Residents,2003,Outbound,Holiday,Thousand,31115.0
Number of Nights by Irish Residents,2003,Outbound,Business,Thousand,3421.0
Number of Nights by Irish Residents,2003,Outbound,Visiting friends/relatives,Thousand,6150.0
Number of Nights by Irish Residents,2003,Outbound,Other reasons,Thousand,3015.0
Number of Nights by Irish Residents,2004,Domestic,All reasons for journey,Thousand,24189.0
Number of Nights by Irish Residents,2004,Domestic,Holiday,Thousand,13506.0
Number of Nights by Irish Residents,2004,Domestic,Business,Thousand,1665.0
Number of Nights by Irish Residents,2004,Domestic,Visiting friends/relatives,Thousand,6478.0
Number of Nights by Irish Residents,2004,Domestic,Other reasons,Thousand,2540.0
Number of Nights by Irish Residents,2004,Outbound,All reasons for journey,Thousand,46302.0
Number of Nights by Irish Residents,2004,Outbound,Holiday,Thousand,33692.0
Number of Nights by Irish Residents,2004,Outbound,Business,Thousand,3430.0
Number of Nights by Irish Residents,2004,Outbound,Visiting friends/relatives,Thousand,6906.0
Number of Nights by Irish Residents,2004,Outbound,Other reasons,Thousand,2274.0
Number of Nights by Irish Residents,2005,Domestic,All reasons for journey,Thousand,24607.0
Number of Nights by Irish Residents,2005,Domestic,Holiday,Thousand,13676.0
Number of Nights by Irish Residents,2005,Domestic,Business,Thousand,1973.0
